City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,jamestown,1,US,1592330932,43,42.1,-79.24,22.78,2.1
1,rikitea,22,PF,1592331041,81,-23.12,-134.97,24.14,5.74
2,ushuaia,40,AR,1592331041,81,-54.8,-68.3,3.0,2.1
3,puerto ayora,40,EC,1592331041,61,-0.74,-90.35,26.0,8.2
4,vila,51,PT,1592331042,74,42.03,-8.16,16.67,4.02
5,thompson,75,CA,1592330585,40,55.74,-97.86,23.0,5.7
6,upernavik,20,GL,1592331042,94,72.79,-56.15,0.17,3.82
7,yellowknife,40,CA,1592331030,58,62.46,-114.35,15.0,12.3
8,kapaa,90,US,1592330931,94,22.08,-159.32,23.0,8.2
9,yamethin,100,MM,1592331042,84,20.43,96.15,25.3,5.49
10,khatanga,100,RU,1592331042,64,71.97,102.5,10.33,5.77
11,pangai,38,TO,1592331042,67,-19.8,-174.35,23.23,10.61
12,grindavik,75,IS,1592331043,76,63.84,-22.43,9.0,5.7
13,skovorodino,0,RU,1592331043,75,53.98,123.92,8.93,1.97
14,raahe,1,FI,1592331043,48,64.68,24.48,19.0,5.1
15,isangel,2,VU,1592331043,80,-19.55,169.27,22.95,5.59
16,punta arenas,16,CL,1592331043,86,-53.15,-70.92,4.0,5.7
17,biloela,32,AU,1592331043,92,-24.42,150.5,14.55,4.41
18,axim,76,GH,1592331043,84,4.87,-2.24,26.44,5.21
19,new norfolk,7,AU,1592331043,80,-42.78,147.06,5.0,1.34
20,kapoeta,25,SS,1592331044,52,4.77,33.59,27.7,2.23
21,castro,49,BR,1592331044,64,-24.79,-50.01,20.73,2.62
22,kodiak,90,US,1592330949,87,57.79,-152.41,10.0,5.1
23,paamiut,78,GL,1592331044,78,61.99,-49.67,2.87,0.76
24,carnarvon,0,AU,1592330928,38,-24.87,113.63,15.0,3.1
25,sao filipe,4,CV,1592331044,78,14.9,-24.5,25.45,4.67
26,port elizabeth,0,ZA,1592331044,82,-33.92,25.57,16.0,4.1
27,kapit,99,MY,1592330946,93,2.02,112.93,23.76,0.2
28,iqaluit,90,CA,1592331045,64,63.75,-68.51,4.0,3.1
29,bambous virieux,40,MU,1592330926,78,-20.34,57.76,22.0,5.1
30,taksimo,72,RU,1592331045,83,56.34,114.88,15.37,1.46
31,lebu,100,CL,1592331045,88,-37.62,-73.65,11.96,7.05
32,belmonte,40,BR,1592331045,69,-15.86,-38.88,26.0,4.1
33,gobabis,0,NA,1592331045,36,-22.45,18.97,11.31,4.94
34,filingue,21,NE,1592331045,13,14.35,3.32,42.29,2.11
35,saint-francois,77,FR,1592330992,52,46.42,3.91,21.0,3.1
36,namibe,0,AO,1592331046,60,-15.2,12.15,23.15,2.52
37,hobart,5,AU,1592331046,65,-42.88,147.33,5.56,3.6
38,port blair,100,IN,1592331046,81,11.67,92.75,28.6,7.04
39,hermanus,0,ZA,1592331046,79,-34.42,19.23,13.33,3.09
40,port-gentil,40,GA,1592331046,88,-0.72,8.78,25.0,5.1
41,comodoro rivadavia,45,AR,1592330892,44,-45.87,-67.5,15.0,14.9
42,guerrero negro,54,MX,1592331046,61,27.98,-114.06,21.43,6.27
